customer_key,customer_name,industry,vertical,address,city,county,postcode
1,Mariana Mamani Chavez,Residential,Residential,Psje. Libertad 1269,"26 de Octubre, Piura",Piura,61770
2,Gonzalo Morales Perez,Residential,Residential,Jr. El Polo 2010,"Llacanora, Cajamarca",Cajamarca,20959
3,Diego Quispe Torres,Residential,Residential,Psje. Las Gardenias 2761,"Wanchaq, Cusco",Cusco,92496
4,Carolina Benavides Vega,Residential,Residential,Psje. Caminos del Inca 511,"Centro, Cajamarca",Cajamarca,75815
5,Francisco Ramirez Valenzuela,Residential,Residential,Av. La Marina 1233,"Tambogrande, Piura",Piura,66205
6,Oscar Miranda Martinez,Residential,Residential,Calle Universitaria 3045,"Wanchaq, Cusco",Cusco,84905
7,Diana Carrasco Salazar,Residential,Residential,Jr. Santa Cruz 3111,"San Isidro, Lima",Lima,53577
8,Lorena Fernandez Lopez,Residential,Residential,Av. La Encalada 3191,"Pilcomayo, Huancayo",Junin,19132
9,Mariana Hernandez Lopez,Residential,Residential,Prol. Santa Cruz 2581,"Pilcomayo, Huancayo",Junin,16205
10,Teck Peru,Mining,Enterprise,Calle Las Palmeras 1893,"Chilca, Huancayo",Junin,11957
11,Oscar Paredes Paredes,Residential,Residential,Calle Los Pinos 653,"Centro, Ica",Ica,31272
12,Pablo Miranda Delgado,Residential,Residential,Psje. Comandante Espinar 1982,"San Miguel, Lima",Lima,18814
13,Enrique Mamani Nunez,Residential,Residential,Calle Emancipacion 1660,"San Martin de Porres, Lima",Lima,31903
14,Alejandro Diaz Delgado,Residential,Residential,Psje. Santa Cruz 1399,"Centro, Iquitos",Loreto,60474
15,Victor Caceres Ortiz,Residential,Residential,Jr. Conquistadores 3277,"Centro, Ica",Ica,17833
16,Banco de la Nacion,Banking,Enterprise,Prol. Los Alamos 264,"Nuevo Chimbote, Chimbote",Ancash,92129
17,Arturo Carrasco Rodriguez,Residential,Residential,Psje. Brasil 2408,"San Juan de Lurigancho, Lima",Lima,24012
18,Ivan Mendoza Paredes,Residential,Residential,Psje. San Martin 2067,"Coishco, Chimbote",Ancash,50315
19,Lucia Zarate Condori,Residential,Residential,Jr. Javier Prado 332,"Punchana, Iquitos",Loreto,93708
20,Veronica Ponce Zarate,Residential,Residential,Calle El Polo 768,"Saylla, Cusco",Cusco,78699
21,Carlos Flores Villegas,Residential,Residential,Av. Puno 3087,"La Victoria, Chiclayo",Lambayeque,12258
22,Marco Mamani Ponce,Residential,Residential,Prol. Las Gardenias 428,"Centro, Chimbote",Ancash,70855
23,Enrique Reyes Benavides,Residential,Residential,Av. Bolognesi 882,"Santa, Chimbote",Ancash,80869
24,Rodrigo Rojas Torres,Residential,Residential,Psje. Bolognesi 1100,"Belen, Iquitos",Loreto,47325
25,Universidad San Martin,Education,Enterprise,Prol. Las Gardenias 1157,"Pilcomayo, Huancayo",Junin,79182
26,Sandra Mendoza Gomez,Residential,Residential,Jr. Los Pinos 1558,"Chilca, Huancayo",Junin,34031
27,Claudia Ortiz Gutierrez,Residential,Residential,Calle Colonial 2312,"Belen, Iquitos",Loreto,55703
28,Carlos Jimenez Gomez,Residential,Residential,Av. Las Orquideas 2192,"Jose Luis Bustamante y Rivero, Arequipa",Arequipa,61580
29,Gustavo Delgado Castro,Residential,Residential,Av. Comandante Espinar 1403,"Ate, Lima",Lima,24303
30,Carla Valenzuela Diaz,Residential,Residential,Calle Tacna 276,"Subtanjalla, Ica",Ica,79957
31,Estilos,Retail,Enterprise,Calle Los Alamos 1199,"Centro, Trujillo",La Libertad,85721
32,Andres Vasquez Arias,Residential,Residential,Jr. San Martin 3399,"Jesus, Cajamarca",Cajamarca,11664
33,Cesar Campos Diaz,Residential,Residential,Jr. Benavides 773,"Centro, Callao",Callao,40354
34,Pilar Reyes Garcia,Residential,Residential,Calle Larco 3354,"Pilcomayo, Huancayo",Junin,35699
35,Rodrigo Palacios Ruiz,Residential,Residential,Prol. Primavera 1365,"Carabayllo, Lima",Lima,36478
36,Karina Gomez Lopez,Residential,Residential,Calle Universitaria 1815,"Banos del Inca, Cajamarca",Cajamarca,55522
37,Marco Fernandez Caceres,Residential,Residential,Calle Las Palmeras 2867,"Centro, Chiclayo",Lambayeque,79201
38,Pan American Silver,Mining,Enterprise,Jr. Las Begonias 3004,"Moche, Trujillo",La Libertad,57280
39,Southern Peru,Mining,Enterprise,Jr. Ayacucho 2502,"Florencia de Mora, Trujillo",La Libertad,75629
40,JW Marriott,Hospitality,Enterprise,Av. Huancavelica 1902,"Pilcomayo, Huancayo",Junin,72207
41,Roberto Garcia Garcia,Residential,Residential,Av. Arequipa 2365,"Castilla, Piura",Piura,26938
42,Nestle Peru,Food & Beverage,SMB,Av. Los Alamos 2798,"26 de Octubre, Piura",Piura,33836
43,Miguel Vasquez Herrera,Residential,Residential,Psje. Las Begonias 2066,"El Tambo, Huancayo",Junin,93204
44,Roberto Ponce Carrasco,Residential,Residential,Av. Santa Cruz 2744,"Jose Leonardo Ortiz, Chiclayo",Lambayeque,80043
45,Natalia Herrera Paredes,Residential,Residential,Jr. Huancavelica 578,"Tambogrande, Piura",Piura,29788
46,Jimena Gutierrez Espinoza,Residential,Residential,Psje. Ica 845,"Cayma, Arequipa",Arequipa,51165
47,Manuel Arias Martinez,Residential,Residential,Av. Javier Prado 155,"Pilcomayo, Huancayo",Junin,88096
48,Patricia Gomez Jimenez,Residential,Residential,Prol. 28 de Julio 160,"Centro, Chimbote",Ancash,26799
49,Julio Vasquez Garcia,Residential,Residential,Psje. Santa Cruz 281,"Sachaca, Arequipa",Arequipa,52492
50,Ministerio del Interior,Government,Government,Prol. Las Orquideas 2704,"Tambogrande, Piura",Piura,57676
51,Gloria,Food & Beverage,SMB,Psje. Tacna 1074,"Coishco, Chimbote",Ancash,90846
52,Rocio Morales Villegas,Residential,Residential,Prol. 28 de Julio 3084,"Pimentel, Chiclayo",Lambayeque,93355
